player_id,stats_id,stats_value
9102,20,16.10%
9102,21,11247
9102,22,7366
9102,23,3111
9102,24,954
9102,25,162
9102,26,18
9102,27,5220
9102,28,7131
9102,29,982
9102,30,3423
9102,31,439
9102,32,29
9102,33,1.15
9172,1,14756
9172,2,12329
9172,3,52.40%
9172,4,82.6
9172,5,2.8
9172,6,727
9172,7,18859
9172,8,1.2
9172,9,0.78
9172,10,0.12
9172,11,0.65
9172,12,0.09
9172,13,0.1
9172,14,9608
9172,15,2189
9172,16,1915
9172,17,1.14
9172,18,1.08
9172,19,72.40%
9172,20,15.70%
9172,21,9251
9172,22,5822
9172,23,2662
9172,24,912
9172,25,186
9172,26,26
9172,27,10598
9172,28,371
9172,29,1087
9172,30,2569
9172,31,113
9172,32,47
9172,33,1.14
15631,1,17821
15631,2,14059
15631,3,49.40%
15631,4,79.2
15631,5,5.4
15631,6,930
15631,7,24208
15631,8,1.27
15631,9,0.74
15631,10,0.13
15631,11,0.58
15631,12,0.08
15631,13,0.1
15631,14,11907
15631,15,2047
15631,16,1497
15631,17,1.37
15631,18,0.99
15631,19,75.00%
15631,20,11.70%
15631,21,12301
15631,22,7473
15631,23,3205
15631,24,1006
15631,25,195
15631,26,28
15631,27,12854
15631,28,551
15631,29,1355
15631,30,2739
15631,31,326
15631,32,101
15631,33,1.18
8944,1,12164
8944,2,10118
8944,3,46.70%
8944,4,85.4
8944,5,4.2
8944,6,603
8944,7,15560
8944,8,1.2
8944,9,0.78
8944,10,0.14
8944,11,0.65
8944,12,0.07
8944,13,0.1
8944,14,7983
8944,15,1838
8944,16,1550
8944,17,1.19
8944,18,1.09
8944,19,75.80%
8944,20,17.00%
8944,21,7577
8944,22,4863
8944,23,2231
8944,24,732
8944,25,142
8944,26,15
8944,27,8704
8944,28,427
8944,29,826
8944,30,1973
8944,31,157
8944,32,101
8944,33,1.14
11847,1,12510
11847,2,10760
11847,3,40.30%
11847,4,87.1
11847,5,3.6
11847,6,625
11847,7,15713
11847,8,1.16
11847,9,0.8
11847,10,0.18
11847,11,0.68
11847,12,0.1
11847,13,0.13
11847,14,8125
11847,15,1908
11847,16,1825
11847,17,1.05
11847,18,1.08
11847,19,75.80%
11847,20,16.90%
11847,21,7588
11847,22,4887
11847,23,2284
11847,24,775
11847,25,165
11847,26,14
11847,27,9814
11847,28,148
11847,29,264
11847,30,2192
11847,31,109
11847,32,6
11847,33,1.21
13776,1,22608
13776,2,17316
13776,3,25.20%
13776,4,73
13776,5,3.9
13776,6,1189
13776,7,31521
13776,8,1.31
13776,9,0.72
13776,10,0.09
13776,11,0.55
13776,12,0.07
13776,13,0.09
13776,14,15469
13776,15,3753
13776,16,2089
13776,17,1.8
13776,18,1.15
13776,19,76.00%
13776,20,17.10%
13776,21,16052
13776,22,10001
13776,23,4041
13776,24,1202
13776,25,206
13776,26,19
13776,27,3061
13776,28,14965
13776,29,1081
13776,30,3198
13776,31,252
13776,32,137
13776,33,1.17
9626,1,22423
9626,2,19052
9626,3,40.40%
9626,4,80
9626,5,1.8
9626,6,1097
9626,7,28850
9626,8,1.18
9626,9,0.78
9626,10,0.11
9626,11,0.66
9626,12,0.09
9626,13,0.11
9626,14,14611
9626,15,3983
9626,16,2960
9626,17,1.35
9626,18,1.19
9626,19,73.40%
9626,20,19.80%
9626,21,14239
9626,22,8851
9626,23,4086
9626,24,1327
9626,25,316
9626,26,31
9626,27,8583
9626,28,9211
9626,29,507
9626,30,3998
9626,31,133
9626,32,50
9626,33,1.13
16847,1,10241
16847,2,8484
16847,3,28.50%
16847,4,80
16847,5,3.8
16847,6,498
16847,7,13378
16847,8,1.21
16847,9,0.77
16847,10,0.12
16847,11,0.63
16847,12,0.1
16847,13,0.11
16847,14,6773
16847,15,1656
16847,16,1114
16847,17,1.49
16847,18,1.15
16847,19,76.70%
16847,20,18.40%
16847,21,6605
16847,22,4156
16847,23,1896
16847,24,596
16847,25,120
16847,26,5
16847,27,2444
16847,28,5801
16847,29,181
16847,30,1687
16847,31,153
16847,32,16
16847,33,1.17
798,1,29371
798,2,24509
798,3,30.50%
798,4,78.2
798,5,3.4
798,6,1460
798,7,38504
798,8,1.2
798,9,0.76
798,10,0.1
798,11,0.64
798,12,0.07
798,13,0.08
798,14,19306
798,15,5123
798,16,3652
798,17,1.4
798,18,1.17
798,19,73.40%
798,20,18.90%
798,21,19198
798,22,11802
798,23,5377
798,24,1731
798,25,363
798,26,33
798,27,5625
798,28,16854
798,29,1023
798,30,5191
798,31,335
798,32,406
798,33,1.13
13281,1,26132
13281,2,21336
13281,3,27.10%
13281,4,78.1
13281,5,2.7
13281,6,1304
13281,7,34783
13281,8,1.22
13281,9,0.75
13281,10,0.11
13281,11,0.61
13281,12,0.07
13281,13,0.08
13281,14,17472
13281,15,4718
13281,16,2938
13281,17,1.61
13281,18,1.2
13281,19,74.50%
13281,20,19.70%
13281,21,17311
13281,22,10958
13281,23,4691
13281,24,1525
13281,25,273
13281,26,25
13281,27,5031
13281,28,16248
13281,29,396
13281,30,4164
13281,31,233
13281,32,122
13281,33,1.17
7167,1,37067
7167,2,30736
7167,3,31.20%
7167,4,74.7
7167,5,3.4
7167,6,1852
7167,7,48898
7167,8,1.21
7167,9,0.76
7167,10,0.11
7167,11,0.63
7167,12,0.09
7167,13,0.11
7167,14,24567
7167,15,5847
7167,16,3969
7167,17,1.47
7167,18,1.13
7167,19,76.50%
7167,20,17.50%
7167,21,24331
7167,22,15241
7167,23,6747
7167,24,2120
7167,25,412
7167,26,47
7167,27,8533
7167,28,19544
7167,29,843
7167,30,7423
7167,31,707
7167,32,80
7167,33,1.13
10774,1,15040
10774,2,12743
10774,3,49.10%
10774,4,80.7
10774,5,2.9
10774,6,773
10774,7,19766
10774,8,1.18
10774,9,0.76
10774,10,0.13
10774,11,0.64
10774,12,0.09
10774,13,0.11
10774,14,9837
10774,15,1902
10774,16,1717
10774,17,1.11
10774,18,1
10774,19,75.70%
10774,20,13.50%
10774,21,9929
10774,22,5988
10774,23,2725
10774,24,918
10774,25,182
10774,26,24
10774,27,10686
10774,28,690
10774,29,766
10774,30,2735
10774,31,158
10774,32,32
10774,33,1.16
10981,1,13904
10981,2,11530
10981,3,35.70%
10981,4,76.7
10981,5,3.4
10981,6,696
10981,7,18646
10981,8,1.21
10981,9,0.75
10981,10,0.11
10981,11,0.62
10981,12,0.09
10981,13,0.12
10981,14,9247
10981,15,2203
10981,16,1553
10981,17,1.42
10981,18,1.12
10981,19,73.40%
10981,20,17.30%
10981,21,9399
10981,22,5767
10981,23,2516
10981,24,774
10981,25,167
10981,26,23
10981,27,5626
10981,28,5438
10981,29,448
10981,30,2252
10981,31,151
10981,32,31
10981,33,1.16
3972,1,30144
3972,2,25923
3972,3,49.40%
3972,4,84.8
3972,5,5.5
3972,6,1474
3972,7,38947
3972,8,1.16
3972,9,0.77
3972,10,0.14
3972,11,0.67
3972,12,0.1
3972,13,0.11
3972,14,19652
3972,15,4536
3972,16,3818
3972,17,1.19
3972,18,1.09
3972,19,76.10%
3972,20,16.60%
3972,21,19295
3972,22,11861
3972,23,5534
3972,24,1846
3972,25,378
3972,26,33
3972,27,21272
3972,28,344
3972,29,3190
3972,30,4826
3972,31,422
3972,32,156
3972,33,1.12
9960,1,24136
9960,2,20574
9960,3,54.60%
9960,4,82.9
9960,5,5.1
9960,6,1218
9960,7,31866
9960,8,1.17
9960,9,0.76
9960,10,0.13
9960,11,0.65
9960,12,0.09
9960,13,0.11
9960,14,15834
9960,15,3463
9960,16,3098
9960,17,1.12
9960,18,1.05
9960,19,73.50%
9960,20,15.10%
9960,21,16032
9960,22,9799
9960,23,4184
9960,24,1471
9960,25,344
9960,26,36
9960,27,17384
9960,28,1178
9960,29,849
9960,30,4379
9960,31,333
9960,32,100
9960,33,1.12
16816,1,10883
16816,2,9398
16816,3,47.00%
16816,4,83.6
16816,5,3.1
16816,6,533
16816,7,14130
16816,8,1.16
16816,9,0.77
16816,10,0.13
16816,11,0.67
16816,12,0.09
16816,13,0.1
16816,14,7098
16816,15,1806
16816,16,1548
16816,17,1.17
16816,18,1.12
16816,19,73.20%
16816,20,17.90%
16816,21,7032
16816,22,4315
16816,23,1963
16816,24,647
16816,25,164
16816,26,9
16816,27,7544
16816,28,1047
16816,29,404
16816,30,1800
16816,31,99
16816,32,32
16816,33,1.18
12877,1,11270
12877,2,9818
12877,3,32.00%
12877,4,84.2
12877,5,4.1
12877,6,560
12877,7,14454
12877,8,1.15
12877,9,0.78
12877,10,0.13
12877,11,0.68
12877,12,0.1
12877,13,0.09
12877,14,7347
12877,15,2574
12877,16,2036
12877,17,1.26
12877,18,1.32
12877,19,72.30%
12877,20,24.80%
12877,21,7107
12877,22,4471
12877,23,2021
12877,24,679
12877,25,160
12877,26,16
12877,27,3548
12877,28,5692
12877,29,260
12877,30,1601
12877,31,160
12877,32,35
12877,33,1.2
11141,1,17397
11141,2,14889
11141,3,50.10%
11141,4,83.3
11141,5,5.1
11141,6,869
11141,7,22571
11141,8,1.17
11141,9,0.77
11141,10,0.15
11141,11,0.66
11141,12,0.09
11141,13,0.09
11141,14,11431
11141,15,2385
11141,16,2041
11141,17,1.17
11141,18,1.04
11141,19,75.20%
11141,20,14.30%
11141,21,11140
11141,22,6979
11141,23,3187
11141,24,1032
11141,25,217
11141,26,16
11141,27,12309
11141,28,384
11141,29,1608
11141,30,2838
11141,31,247
11141,32,52
11141,33,1.17
12553,1,20149
12553,2,16995
12553,3,44.30%
12553,4,84.2
12553,5,5
12553,6,1022
12553,7,26677
12553,8,1.19
12553,9,0.76
12553,10,0.15
12553,11,0.64
12553,12,0.09
12553,13,0.11
12553,14,13336
12553,15,2580
12553,16,1877
12553,17,1.37
12553,18,1.03
12553,19,76.40%
12553,20,13.70%
12553,21,13341
12553,22,8292
12553,23,3570
12553,24,1201
12553,25,251
12553,26,22
12553,27,15471
12553,28,453
12553,29,744
12553,30,3219
12553,31,286
12553,32,43
12553,33,1.18
8574,1,22815
8574,2,18947
8574,3,32.10%
8574,4,76.4
8574,5,2.4
8574,6,1178
8574,7,30952
8574,8,1.2
8574,9,0.74
8574,10,0.11
8574,11,0.61
8574,12,0.08
8574,13,0.1
8574,14,15130
8574,15,3693
8574,16,2485
8574,17,1.49
8574,18,1.13
8574,19,76.10%
8574,20,17.30%
8574,21,15822
8574,22,9398
8574,23,4130
8574,24,1287
8574,25,279
8574,26,36
8574,27,6232
8574,28,12438
8574,29,462
8574,30,3472
8574,31,214
8574,32,84
8574,33,1.12
1088,1,9317
1088,2,7766
1088,3,27.70%
1088,4,78.5
1088,5,2.6
1088,6,457
1088,7,12154
1088,8,1.2
1088,9,0.77
1088,10,0.1
1088,11,0.64
1088,12,0.07
1088,13,0.09
1088,14,6279
1088,15,1595
1088,16,1041
1088,17,1.53
1088,18,1.18
1088,19,71.60%
1088,20,19.00%
1088,21,5875
1088,22,3952
1088,23,1735
1088,24,484
1088,25,99
1088,26,9
1088,27,1248
1088,28,5656
1088,29,105
1088,30,2206
1088,31,112
1088,32,7
1088,33,1.12
11140,1,18179
11140,2,15568
11140,3,42.50%
11140,4,85.6
11140,5,8.5
11140,6,946
11140,7,23988
11140,8,1.17
11140,9,0.76
11140,10,0.17
11140,11,0.65
11140,12,0.1
11140,13,0.09
11140,14,11887
11140,15,2792
11140,16,2439
11140,17,1.14
11140,18,1.08
11140,19,77.50%
11140,20,15.90%
11140,21,12101
11140,22,7199
11140,23,3368
11140,24,1063
11140,25,230
11140,26,27
11140,27,12322
11140,28,825
11140,29,1492
11140,30,3018
11140,31,490
11140,32,77
11140,33,1.19
5736,1,16548
5736,2,14142
5736,3,32.70%
5736,4,78.5
5736,5,2.1
5736,6,827
5736,7,21606
5736,8,1.17
5736,9,0.77
5736,10,0.1
5736,11,0.65
5736,12,0.08
5736,13,0.09
5736,14,10956
5736,15,2929
5736,16,2200
5736,17,1.33
5736,18,1.17
5736,19,74.60%
5736,20,19.40%
5736,21,10650
5736,22,6792
5736,23,2989
5736,24,945
5736,25,207
5736,26,23
5736,27,5082
5736,28,7983
5736,29,732
5736,30,2586
5736,31,142
5736,32,48
5736,33,1.12
11816,1,22490
11816,2,18697
11816,3,51.60%
11816,4,78.5
11816,5,2.4
11816,6,1149
11816,7,30413
11816,8,1.2
11816,9,0.74
11816,10,0.11
11816,11,0.61
11816,12,0.07
11816,13,0.09
11816,14,14993
11816,15,2943
11816,16,2410
11816,17,1.22
11816,18,1.02
11816,19,73.10%
11816,20,13.50%
11816,21,15420
11816,22,9347
11816,23,4109
11816,24,1251
11816,25,258
11816,26,28
11816,27,16807
11816,28,1080
11816,29,738
11816,30,3679
11816,31,131
11816,32,117
11816,33,1.15
14087,1,10302
14087,2,8894
14087,3,31.80%
14087,4,78.2
14087,5,2.8
14087,6,503
14087,7,13449
14087,8,1.16
14087,9,0.77
14087,10,0.1
14087,11,0.66
14087,12,0.08
14087,13,0.09
14087,14,6747
14087,15,2050
14087,16,1538
14087,17,1.33
14087,18,1.24
14087,19,72.50%
14087,20,22.20%
14087,21,6702
14087,22,4128
14087,23,1826
14087,24,658
14087,25,127
14087,26,8
14087,27,2872
14087,28,5073
14087,29,421
14087,30,1835
14087,31,83
14087,32,46
14087,33,1.15
9884,1,10634
9884,2,9395
9884,3,50.10%
9884,4,83.9
9884,5,3.5
9884,6,525
9884,7,13568
9884,8,1.13
9884,9,0.78
9884,10,0.14
9884,11,0.69
9884,12,0.11
9884,13,0.14
9884,14,6906
9884,15,1518
9884,16,1276
9884,17,1.19
9884,18,1.07
9884,19,74.80%
9884,20,16.20%
9884,21,6662
